task,variant,step,train_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,edge_density,edge_entropy,order_abs,order_gate,key_entropy,ops_scale
order,none,1,1.183426856994629,0.6931737065315247,0.5052083333333334,0.5052083333333334,1,19971,32.92704772949219,0.8063182830810547,0.0,0.0,,,,
order,none,20,0.6842760443687439,0.7123625874519348,0.4856770833333333,0.5052083333333334,1,19971,0.48954132199287415,4.413959980010986,0.0,0.0,,,,
order,none,40,0.685549795627594,0.7105216234922409,0.4921875,0.5052083333333334,1,19971,0.9931862354278564,8.214462280273438,0.0,0.0,,,,
order,learned_sparse,1,0.7267203330993652,1.4302822947502136,0.5013020833333334,0.5013020833333334,1,22275,10.92042064666748,0.43828487396240234,0.1857638955116272,0.5489093661308289,,,,
order,learned_sparse,20,0.6934288144111633,0.6973009556531906,0.5065104166666666,0.5065104166666666,20,22275,0.28184548020362854,4.298766851425171,0.1857638955116272,0.5489056706428528,,,,
order,learned_sparse,40,0.6937881112098694,0.6991692930459976,0.453125,0.5065104166666666,20,22275,0.45870712399482727,8.337347745895386,0.1857638955116272,0.5489045977592468,,,,
order,learned_sparse_ops,1,0.7112265825271606,1.4933825135231018,0.5234375,0.5234375,1,27886,9.043367385864258,0.4806525707244873,0.1857638955116272,0.5489100813865662,0.0037382482551038265,0.49910968542099,0.9999951720237732,0.7607528567314148
order,learned_sparse_ops,20,0.6959778070449829,0.6931662559509277,0.4700520833333333,0.5234375,1,27886,0.8098558187484741,4.398937225341797,0.1857638955116272,0.5489053130149841,0.003527696244418621,0.4973992705345154,0.9999911785125732,0.7541289329528809
order,learned_sparse_ops,40,0.7065871357917786,0.6934531778097153,0.51171875,0.5234375,1,27886,1.8594907522201538,8.528047800064087,0.1857638955116272,0.5489040017127991,0.003536087227985263,0.4969559907913208,0.9999887943267822,0.7512727975845337
kv,none,1,0.8368279933929443,0.722653403878212,0.49609375,0.49609375,1,19971,14.650458335876465,0.4128241539001465,0.0,0.0,,,,
kv,none,20,0.7045608162879944,0.6955235302448273,0.5,0.5,20,19971,1.6310116052627563,4.049978017807007,0.0,0.0,,,,
kv,none,40,0.7331296801567078,0.7077088803052902,0.4908854166666667,0.5,20,19971,3.285274028778076,7.7780067920684814,0.0,0.0,,,,
kv,learned_sparse,1,0.6967845559120178,1.0692216455936432,0.5130208333333334,0.5130208333333334,1,22275,1.5261157751083374,0.4332609176635742,0.1857638955116272,0.5489109754562378,,,,
kv,learned_sparse,20,0.692264199256897,0.6924511641263962,0.51171875,0.5130208333333334,1,22275,0.07279863208532333,4.313709735870361,0.1857638955116272,0.5489059090614319,,,,
kv,learned_sparse,40,0.7049260139465332,0.7101437449455261,0.5286458333333334,0.5286458333333334,40,22275,1.6420280933380127,8.300979137420654,0.1857638955116272,0.5488989353179932,,,,
kv,learned_sparse_ops,1,0.7652441263198853,1.2106929421424866,0.5299479166666666,0.5299479166666666,1,27886,13.916406631469727,0.4340791702270508,0.1857638955116272,0.5489102602005005,0.001815242925658822,0.4976421892642975,0.9999739527702332,0.7607528567314148
kv,learned_sparse_ops,20,0.6898376941680908,0.6872165501117706,0.5221354166666666,0.5299479166666666,1,27886,0.4908977150917053,4.53816819190979,0.1857638955116272,0.5489073991775513,0.0018233818700537086,0.49658456444740295,0.9999589920043945,0.7608852982521057
kv,learned_sparse_ops,40,0.6737378239631653,0.6679423600435257,0.6966145833333334,0.6966145833333334,40,27886,1.313624382019043,8.692863702774048,0.1857638955116272,0.5489010810852051,0.0020174412056803703,0.49601832032203674,0.9997095465660095,0.7711280584335327
