task,model,step,train_loss,val_loss,val_acc,best_val_acc,best_step,params,grad_norm,sec,plateau,key_entropy
mode_select,mean_pool,1,0.6994193196296692,0.6945009678602219,0.515625,0.515625,1,35619,0.1634916067123413,0.39046406745910645,,
mode_select,mean_pool,20,0.6534475684165955,0.6525637656450272,0.673828125,0.673828125,20,35619,0.08934817463159561,0.5099437236785889,,
mode_select,mean_pool,40,0.632251501083374,0.635308563709259,0.7080078125,0.7080078125,40,35619,0.08060510456562042,0.6352472305297852,,
mode_select,mean_pool,60,0.6217467188835144,0.6072854548692703,0.7578125,0.7578125,60,35619,0.09106826782226562,0.7622520923614502,,
mode_select,adfc3,1,0.7943872809410095,0.7192867547273636,0.5126953125,0.5126953125,1,39523,2.176001787185669,0.4815089702606201,0.5013364553451538,0.9797322154045105
mode_select,adfc3,20,0.5931029915809631,0.5531270503997803,0.763671875,0.763671875,20,39523,0.5529835224151611,4.446178197860718,0.478493869304657,0.5221501588821411
mode_select,adfc3,40,0.48804616928100586,0.49035168439149857,0.765625,0.765625,40,39523,0.41140371561050415,8.531808614730835,0.4648195505142212,0.343703031539917
mode_select,adfc3,60,0.011490433476865292,0.009504331042990088,1.0,1.0,60,39523,0.10437268018722534,12.671911478042603,0.4723580479621887,0.08019105345010757
order_compare,mean_pool,1,0.6901548504829407,0.6947609484195709,0.5107421875,0.5107421875,1,35619,0.04031846672296524,0.04387784004211426,,
order_compare,mean_pool,20,0.6934967041015625,0.693218782544136,0.5166015625,0.5166015625,20,35619,0.061259668320417404,0.16100764274597168,,
order_compare,mean_pool,40,0.6968517303466797,0.6961116343736649,0.494140625,0.5166015625,20,35619,0.036155566573143005,0.28469085693359375,,
order_compare,mean_pool,60,0.6921679973602295,0.6963168382644653,0.474609375,0.5166015625,20,35619,0.10371945053339005,0.41321253776550293,,
order_compare,adfc3,1,0.6937318444252014,0.6927635222673416,0.525390625,0.525390625,1,39523,0.45403653383255005,0.42107319831848145,0.5041781067848206,0.9782559871673584
order_compare,adfc3,20,0.6945655345916748,0.6996980756521225,0.494140625,0.525390625,1,39523,0.2653515636920929,4.410842180252075,0.48744648694992065,0.960128903388977
order_compare,adfc3,40,0.697789192199707,0.6948948204517365,0.4853515625,0.525390625,1,39523,0.7284969091415405,8.569720268249512,0.469387412071228,0.9532449245452881
order_compare,adfc3,60,0.6914312243461609,0.6918045431375504,0.5419921875,0.5419921875,60,39523,0.5909047722816467,12.631298542022705,0.4592636227607727,0.9648483395576477
kv_recall4,mean_pool,1,0.6884288787841797,0.6892687827348709,0.55859375,0.55859375,1,35619,0.06941533088684082,0.024929046630859375,,
kv_recall4,mean_pool,20,0.6610551476478577,0.6561445444822311,0.6591796875,0.6591796875,20,35619,0.09077149629592896,0.17964768409729004,,
kv_recall4,mean_pool,40,0.6310003399848938,0.6331602334976196,0.689453125,0.689453125,40,35619,0.0718960091471672,0.3394601345062256,,
kv_recall4,mean_pool,60,0.64137202501297,0.6141419112682343,0.71484375,0.71484375,60,35619,0.1951226145029068,0.5040123462677002,,
kv_recall4,adfc3,1,0.7275705933570862,0.7686749845743179,0.47265625,0.47265625,1,39523,0.7947608828544617,0.42413759231567383,0.499668151140213,0.9654713869094849
kv_recall4,adfc3,20,0.5611040592193604,0.5395939648151398,0.6787109375,0.6787109375,20,39523,0.441584974527359,4.396662712097168,0.49610137939453125,0.7301022410392761
kv_recall4,adfc3,40,0.0010919759515672922,0.0009139904286712408,1.0,1.0,40,39523,0.012796378694474697,8.643686532974243,0.5033740997314453,0.2148725390434265
kv_recall4,adfc3,60,0.0002159756259061396,0.00022204669221537188,1.0,1.0,40,39523,0.0021618620958179235,12.898556470870972,0.5059754252433777,0.1775282770395279
